User_ID,Initial_Emotion,Age,Gender,Occupation,Computer_Operating_Skill,Label,Stimulus,Response,Response_Time,Current_Emotion,Mouse_Data,Mouse_Clicks,Mouse_Clicks_List,Mouse_Downtime_List,Click_Moments_List,Speed,Velocity,Graph_file
030524174703,awe,2,Male,Student,Beginner,excitement,excitement_00003.jpg,Yes,433244,contentment,"[{'x': 756, 'y': 639, 't': 271}, {'x': 756, 'y': 638, 't': 304}, {'x': 757, 'y': 635, 't': 371}, {'x': 758, 'y': 633, 't': 388}, {'x': 759, 'y': 632, 't': 554}, {'x': 760, 'y': 631, 't': 570}, {'x': 764, 'y': 629, 't': 587}, {'x': 769, 'y': 624, 't': 604}, {'x': 777, 'y': 617, 't': 620}, {'x': 785, 'y': 607, 't': 637}, {'x': 786, 'y': 604, 't': 654}, {'x': 788, 'y': 592, 't': 670}, {'x': 789, 'y': 579, 't': 687}, {'x': 789, 'y': 551, 't': 704}, {'x': 788, 'y': 531, 't': 720}, {'x': 784, 'y': 502, 't': 737}, {'x': 781, 'y': 487, 't': 754}, {'x': 779, 'y': 475, 't': 771}, {'x': 779, 'y': 472, 't': 787}, {'x': 778, 'y': 469, 't': 804}, {'x': 778, 'y': 466, 't': 820}, {'x': 778, 'y': 461, 't': 837}, {'x': 777, 'y': 452, 't': 854}, {'x': 776, 'y': 444, 't': 870}, {'x': 776, 'y': 435, 't': 888}, {'x': 776, 'y': 431, 't': 904}, {'x': 775, 'y': 427, 't': 920}, {'x': 771, 'y': 420, 't': 937}, {'x': 771, 'y': 419, 't': 954}, {'x': 768, 'y': 415, 't': 971}, {'x': 767, 'y': 415, 't': 987}, {'x': 767, 'y': 413, 't': 1004}, {'x': 766, 'y': 412, 't': 1020}, {'x': 765, 'y': 411, 't': 1037}, {'x': 826, 'y': 441, 't': 10072}, {'x': 889, 'y': 468, 't': 10093}, {'x': 923, 'y': 483, 't': 10108}, {'x': 940, 'y': 489, 't': 10119}, {'x': 963, 'y': 491, 't': 10136}, {'x': 970, 'y': 487, 't': 10152}, {'x': 967, 'y': 476, 't': 10169}, {'x': 964, 'y': 463, 't': 10186}, {'x': 964, 'y': 445, 't': 10203}, {'x': 968, 'y': 413, 't': 10219}, {'x': 972, 'y': 395, 't': 10237}, {'x': 976, 'y': 354, 't': 10252}, {'x': 978, 'y': 326, 't': 10269}, {'x': 978, 'y': 315, 't': 10286}, {'x': 978, 'y': 307, 't': 10302}, {'x': 978, 'y': 297, 't': 10319}, {'x': 973, 'y': 289, 't': 10336}, {'x': 968, 'y': 279, 't': 10352}, {'x': 968, 'y': 277, 't': 10425}, {'x': 968, 'y': 269, 't': 10437}, {'x': 968, 'y': 264, 't': 10452}, {'x': 969, 'y': 261, 't': 10469}, {'x': 971, 'y': 258, 't': 13772}, {'x': 972, 'y': 253, 't': 13785}, {'x': 972, 'y': 251, 't': 13802}, {'x': 976, 'y': 235, 't': 13821}, {'x': 981, 'y': 211, 't': 13835}, {'x': 984, 'y': 181, 't': 13852}, {'x': 984, 'y': 137, 't': 13869}, {'x': 984, 'y': 75, 't': 13885}, {'x': 984, 'y': 18, 't': 13902}, {'x': 1119, 'y': 0, 't': 432028}, {'x': 1112, 'y': 5, 't': 432036}, {'x': 1108, 'y': 11, 't': 432049}, {'x': 1096, 'y': 27, 't': 432066}, {'x': 1081, 'y': 45, 't': 432082}, {'x': 1057, 'y': 78, 't': 432100}, {'x': 1048, 'y': 90, 't': 432116}, {'x': 1030, 'y': 117, 't': 432134}, {'x': 1006, 'y': 146, 't': 432149}, {'x': 992, 'y': 168, 't': 432167}, {'x': 976, 'y': 185, 't': 432182}, {'x': 960, 'y': 196, 't': 432199}, {'x': 952, 'y': 204, 't': 432216}, {'x': 944, 'y': 210, 't': 432232}, {'x': 932, 'y': 219, 't': 432249}, {'x': 919, 'y': 229, 't': 432266}, {'x': 908, 'y': 238, 't': 432282}, {'x': 891, 'y': 255, 't': 432299}, {'x': 888, 'y': 258, 't': 432316}, {'x': 875, 'y': 277, 't': 432333}, {'x': 849, 'y': 300, 't': 432349}, {'x': 840, 'y': 308, 't': 432365}, {'x': 830, 'y': 315, 't': 432382}, {'x': 820, 'y': 319, 't': 432399}, {'x': 801, 'y': 319, 't': 432416}, {'x': 777, 'y': 315, 't': 432433}, {'x': 754, 'y': 304, 't': 432449}, {'x': 752, 'y': 303, 't': 432466}, {'x': 749, 'y': 303, 't': 432556}, {'x': 746, 'y': 301, 't': 432566}, {'x': 744, 'y': 301, 't': 432582}, {'x': 743, 'y': 299, 't': 432599}, {'x': 740, 'y': 297, 't': 432616}, {'x': 740, 'y': 295, 't': 432632}, {'x': 739, 'y': 295, 't': 432660}, {'x': 736, 'y': 295, 't': 432676}, {'x': 734, 'y': 295, 't': 432684}, {'x': 731, 'y': 295, 't': 432699}, {'x': 716, 'y': 295, 't': 432716}, {'x': 676, 'y': 295, 't': 432732}, {'x': 644, 'y': 290, 't': 432749}, {'x': 620, 'y': 281, 't': 432766}, {'x': 600, 'y': 272, 't': 432783}, {'x': 580, 'y': 263, 't': 432799}, {'x': 563, 'y': 254, 't': 432816}, {'x': 548, 'y': 249, 't': 432832}, {'x': 542, 'y': 247, 't': 432849}, {'x': 538, 'y': 247, 't': 432866}, {'x': 535, 'y': 247, 't': 432882}, {'x': 528, 'y': 247, 't': 432899}, {'x': 527, 'y': 247, 't': 432917}, {'x': 526, 'y': 247, 't': 432933}, {'x': 525, 'y': 245, 't': 432982}, {'x': 524, 'y': 243, 't': 433000}, {'x': 523, 'y': 242, 't': 433015}, {'x': 521, 'y': 239, 't': 433032}, {'x': 520, 'y': 237, 't': 433049}, {'x': 519, 'y': 235, 't': 433065}, {'x': 517, 'y': 231, 't': 433082}, {'x': 517, 'y': 228, 't': 433098}, {'x': 517, 'y': 226, 't': 433116}, {'x': 516, 'y': 223, 't': 433132}, {'x': 516, 'y': 223, 't': 433215}, {'x': 517, 'y': 223, 't': 433232}, {'x': 517, 'y': 222, 't': 433243}]",1,"[{'x': 516, 'y': 223}]",[95],[433243],4.296253151569855,1.10938638883646,excitement_20240503175439873244_graph.png
080524221029,awe,21,Male,Student,Beginner,disgust,disgust_00002.jpg,Yes,1328,awe,"[{'x': 774, 'y': 623, 't': 611}, {'x': 773, 'y': 599, 't': 644}, {'x': 760, 'y': 548, 't': 678}, {'x': 735, 'y': 493, 't': 712}, {'x': 682, 'y': 423, 't': 745}, {'x': 644, 'y': 386, 't': 778}, {'x': 621, 'y': 364, 't': 811}, {'x': 596, 'y': 333, 't': 845}, {'x': 575, 'y': 289, 't': 878}, {'x': 556, 'y': 267, 't': 912}, {'x': 544, 'y': 259, 't': 945}, {'x': 537, 'y': 254, 't': 978}, {'x': 532, 'y': 246, 't': 1011}, {'x': 528, 'y': 235, 't': 1044}, {'x': 526, 'y': 234, 't': 1078}, {'x': 526, 'y': 232, 't': 1178}, {'x': 526, 'y': 228, 't': 1211}, {'x': 526, 'y': 227, 't': 1245}]",1,"[{'x': 526, 'y': 227}]",[70],[1328],362.03343653252915,351.8428146715923,disgust_20240508221045165067_graph.png
080524221029,awe,21,Male,Student,Beginner,anger,"<iframe width=""700"" height=""450"" src=""https://www.youtube.com/embed/guVlUIt-eP4?si=ThXOTkgF7BjIoLul&amp;controls=0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Yes,1448,anger,"[{'x': 791, 'y': 650, 't': 551}, {'x': 770, 'y': 611, 't': 584}, {'x': 749, 'y': 571, 't': 617}, {'x': 719, 'y': 523, 't': 651}, {'x': 694, 'y': 494, 't': 684}, {'x': 667, 'y': 456, 't': 718}, {'x': 627, 'y': 394, 't': 751}, {'x': 600, 'y': 359, 't': 784}, {'x': 582, 'y': 343, 't': 818}, {'x': 576, 'y': 335, 't': 851}, {'x': 568, 'y': 324, 't': 884}, {'x': 552, 'y': 297, 't': 917}, {'x': 523, 'y': 248, 't': 951}, {'x': 516, 'y': 239, 't': 985}, {'x': 516, 'y': 238, 't': 1017}, {'x': 516, 'y': 237, 't': 1051}, {'x': 516, 'y': 234, 't': 1084}, {'x': 515, 'y': 231, 't': 1118}, {'x': 515, 'y': 229, 't': 1284}]",1,"[{'x': 515, 'y': 229}]",[46],[1448],349.8198310031012,347.65566521329345,anger_20240508221059919235_graph.png
080524221029,awe,21,Male,Student,Beginner,contentment,contentment_00005.jpg,Yes,1244,contentment,"[{'x': 735, 'y': 616, 't': 499}, {'x': 725, 'y': 600, 't': 532}, {'x': 705, 'y': 569, 't': 564}, {'x': 651, 'y': 460, 't': 598}, {'x': 620, 'y': 403, 't': 631}, {'x': 610, 'y': 391, 't': 665}, {'x': 608, 'y': 388, 't': 698}, {'x': 604, 'y': 386, 't': 731}, {'x': 594, 'y': 373, 't': 764}, {'x': 566, 'y': 326, 't': 798}, {'x': 555, 'y': 306, 't': 831}, {'x': 537, 'y': 267, 't': 865}, {'x': 523, 'y': 230, 't': 899}, {'x': 520, 'y': 219, 't': 932}]",1,"[{'x': 520, 'y': 219}]",[110],[1244],364.8195939466329,362.925875512779,contentment_20240508221225909740_graph.png
080524221029,awe,21,Male,Student,Beginner,disgust,"<iframe width=""700"" height=""450"" src=""https://www.youtube.com/embed/yekWI59YWTg?si=rFBYReNokzbpMk9K&amp;controls=0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Yes,1823,sadness,"[{'x': 795, 'y': 626, 't': 303}, {'x': 796, 'y': 617, 't': 336}, {'x': 797, 'y': 612, 't': 369}, {'x': 799, 'y': 607, 't': 402}, {'x': 801, 'y': 598, 't': 436}, {'x': 804, 'y': 584, 't': 469}, {'x': 808, 'y': 568, 't': 503}, {'x': 812, 'y': 544, 't': 536}, {'x': 820, 'y': 529, 't': 569}, {'x': 828, 'y': 511, 't': 602}, {'x': 844, 'y': 478, 't': 636}, {'x': 879, 'y': 388, 't': 669}, {'x': 928, 'y': 282, 't': 703}, {'x': 966, 'y': 204, 't': 736}, {'x': 991, 'y': 167, 't': 769}, {'x': 996, 'y': 159, 't': 803}, {'x': 1000, 'y': 155, 't': 836}, {'x': 1006, 'y': 148, 't': 869}, {'x': 1009, 'y': 146, 't': 903}, {'x': 1012, 'y': 146, 't': 936}, {'x': 1016, 'y': 154, 't': 969}, {'x': 1010, 'y': 197, 't': 1002}, {'x': 969, 'y': 271, 't': 1036}, {'x': 913, 'y': 317, 't': 1069}, {'x': 852, 'y': 349, 't': 1102}, {'x': 790, 'y': 377, 't': 1135}, {'x': 725, 'y': 395, 't': 1169}, {'x': 688, 'y': 396, 't': 1202}, {'x': 661, 'y': 381, 't': 1236}, {'x': 625, 'y': 335, 't': 1276}, {'x': 604, 'y': 311, 't': 1302}, {'x': 580, 'y': 287, 't': 1335}, {'x': 564, 'y': 268, 't': 1369}, {'x': 558, 'y': 257, 't': 1402}, {'x': 554, 'y': 247, 't': 1436}, {'x': 552, 'y': 241, 't': 1469}, {'x': 552, 'y': 239, 't': 1602}, {'x': 550, 'y': 236, 't': 1637}]",2,"[{'x': 552, 'y': 241}, {'x': 550, 'y': 236}]","[62, 86]","[1575, 1823]",657.6821673833891,252.64415724167523,disgust_20240508221356193056_graph.png
080524221029,awe,21,Male,Student,Beginner,excitement,excitement_00004.jpg,Yes,1472,excitement,"[{'x': 774, 'y': 627, 't': 174}, {'x': 772, 'y': 623, 't': 190}, {'x': 766, 'y': 615, 't': 207}, {'x': 748, 'y': 595, 't': 223}, {'x': 723, 'y': 569, 't': 240}, {'x': 694, 'y': 536, 't': 257}, {'x': 678, 'y': 518, 't': 274}, {'x': 659, 'y': 496, 't': 290}, {'x': 633, 'y': 470, 't': 307}, {'x': 614, 'y': 448, 't': 324}, {'x': 586, 'y': 415, 't': 340}, {'x': 570, 'y': 399, 't': 357}, {'x': 559, 'y': 387, 't': 374}, {'x': 552, 'y': 381, 't': 390}, {'x': 544, 'y': 371, 't': 407}, {'x': 537, 'y': 363, 't': 423}, {'x': 530, 'y': 351, 't': 440}, {'x': 526, 'y': 343, 't': 457}, {'x': 521, 'y': 332, 't': 473}, {'x': 518, 'y': 323, 't': 490}, {'x': 516, 'y': 316, 't': 507}, {'x': 514, 'y': 311, 't': 523}, {'x': 512, 'y': 305, 't': 540}, {'x': 506, 'y': 293, 't': 557}, {'x': 503, 'y': 282, 't': 573}, {'x': 499, 'y': 274, 't': 590}, {'x': 496, 'y': 267, 't': 607}, {'x': 496, 'y': 263, 't': 624}, {'x': 495, 'y': 258, 't': 640}, {'x': 493, 'y': 256, 't': 657}, {'x': 493, 'y': 255, 't': 674}, {'x': 493, 'y': 252, 't': 723}, {'x': 493, 'y': 250, 't': 740}, {'x': 493, 'y': 248, 't': 756}, {'x': 493, 'y': 247, 't': 773}, {'x': 493, 'y': 245, 't': 857}, {'x': 493, 'y': 243, 't': 874}, {'x': 493, 'y': 242, 't': 890}, {'x': 493, 'y': 241, 't': 907}, {'x': 493, 'y': 240, 't': 923}, {'x': 493, 'y': 239, 't': 940}, {'x': 493, 'y': 237, 't': 973}, {'x': 493, 'y': 235, 't': 990}, {'x': 493, 'y': 233, 't': 1007}, {'x': 493, 'y': 231, 't': 1023}, {'x': 493, 'y': 229, 't': 1040}, {'x': 493, 'y': 228, 't': 1057}, {'x': 493, 'y': 227, 't': 1073}, {'x': 493, 'y': 226, 't': 1290}]",1,"[{'x': 493, 'y': 226}]",[92],[1472],340.97381868639064,332.64604658495665,excitement_20240508223605350482_graph.png
080524221029,awe,21,Male,Student,Beginner,fear,"<iframe width=""700"" height=""450"" src=""https://www.youtube.com/embed/gbWE47w2oLE?si=QUj_WuoXZ3nDE-N2&amp;controls=0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Yes,1849,fear,"[{'x': 736, 'y': 626, 't': 116}, {'x': 737, 'y': 624, 't': 132}, {'x': 740, 'y': 622, 't': 148}, {'x': 743, 'y': 621, 't': 166}, {'x': 744, 'y': 619, 't': 182}, {'x': 745, 'y': 619, 't': 198}, {'x': 745, 'y': 617, 't': 215}, {'x': 745, 'y': 615, 't': 232}, {'x': 744, 'y': 611, 't': 248}, {'x': 743, 'y': 606, 't': 266}, {'x': 741, 'y': 583, 't': 282}, {'x': 740, 'y': 551, 't': 298}, {'x': 731, 'y': 515, 't': 315}, {'x': 718, 'y': 497, 't': 332}, {'x': 697, 'y': 479, 't': 349}, {'x': 688, 'y': 470, 't': 365}, {'x': 664, 'y': 462, 't': 382}, {'x': 623, 'y': 453, 't': 398}, {'x': 601, 'y': 450, 't': 415}, {'x': 600, 'y': 449, 't': 499}, {'x': 582, 'y': 443, 't': 515}, {'x': 579, 'y': 440, 't': 532}, {'x': 576, 'y': 433, 't': 548}, {'x': 568, 'y': 423, 't': 565}, {'x': 560, 'y': 414, 't': 582}, {'x': 555, 'y': 405, 't': 598}, {'x': 554, 'y': 403, 't': 615}, {'x': 554, 'y': 402, 't': 632}, {'x': 554, 'y': 400, 't': 648}, {'x': 556, 'y': 396, 't': 665}, {'x': 560, 'y': 391, 't': 682}, {'x': 561, 'y': 390, 't': 698}, {'x': 562, 'y': 390, 't': 715}, {'x': 564, 'y': 389, 't': 832}, {'x': 565, 'y': 387, 't': 848}, {'x': 568, 'y': 370, 't': 865}, {'x': 568, 'y': 365, 't': 882}, {'x': 566, 'y': 355, 't': 898}, {'x': 560, 'y': 337, 't': 915}, {'x': 556, 'y': 329, 't': 932}, {'x': 553, 'y': 319, 't': 948}, {'x': 551, 'y': 311, 't': 966}, {'x': 548, 'y': 306, 't': 982}, {'x': 544, 'y': 301, 't': 998}, {'x': 543, 'y': 297, 't': 1015}, {'x': 541, 'y': 294, 't': 1066}, {'x': 541, 'y': 292, 't': 1082}, {'x': 540, 'y': 286, 't': 1099}, {'x': 540, 'y': 284, 't': 1116}, {'x': 540, 'y': 282, 't': 1132}, {'x': 539, 'y': 279, 't': 1149}, {'x': 538, 'y': 276, 't': 1166}, {'x': 537, 'y': 276, 't': 1185}, {'x': 536, 'y': 274, 't': 1209}, {'x': 535, 'y': 273, 't': 1216}, {'x': 535, 'y': 272, 't': 1232}, {'x': 533, 'y': 267, 't': 1249}, {'x': 532, 'y': 265, 't': 1265}, {'x': 532, 'y': 261, 't': 1282}, {'x': 531, 'y': 260, 't': 1299}, {'x': 530, 'y': 255, 't': 1316}, {'x': 530, 'y': 254, 't': 1332}, {'x': 529, 'y': 252, 't': 1349}, {'x': 528, 'y': 251, 't': 1366}, {'x': 528, 'y': 249, 't': 1382}, {'x': 528, 'y': 247, 't': 1399}, {'x': 528, 'y': 244, 't': 1416}, {'x': 528, 'y': 241, 't': 1432}, {'x': 527, 'y': 239, 't': 1449}, {'x': 527, 'y': 238, 't': 1472}, {'x': 527, 'y': 237, 't': 1482}, {'x': 527, 'y': 236, 't': 1532}, {'x': 527, 'y': 235, 't': 1549}, {'x': 527, 'y': 234, 't': 1648}, {'x': 527, 'y': 229, 't': 1665}, {'x': 525, 'y': 227, 't': 1682}, {'x': 525, 'y': 224, 't': 1699}, {'x': 525, 'y': 223, 't': 1715}, {'x': 524, 'y': 220, 't': 1732}, {'x': 524, 'y': 219, 't': 1749}]",1,"[{'x': 524, 'y': 219}]",[72],[1849],291.6306596075737,248.19044317003016,fear_20240508223841385810_graph.png
080524221029,awe,21,Male,Student,Beginner,awe,awe_00003.jpg,Yes,1056,excitement,"[{'x': 763, 'y': 634, 't': 113}, {'x': 768, 'y': 620, 't': 129}, {'x': 772, 'y': 603, 't': 146}, {'x': 780, 'y': 575, 't': 163}, {'x': 784, 'y': 550, 't': 179}, {'x': 792, 'y': 524, 't': 196}, {'x': 797, 'y': 505, 't': 213}, {'x': 801, 'y': 490, 't': 229}, {'x': 806, 'y': 471, 't': 246}, {'x': 812, 'y': 461, 't': 263}, {'x': 816, 'y': 448, 't': 280}, {'x': 820, 'y': 437, 't': 296}, {'x': 825, 'y': 425, 't': 313}, {'x': 828, 'y': 417, 't': 329}, {'x': 829, 'y': 411, 't': 346}, {'x': 830, 'y': 404, 't': 363}, {'x': 830, 'y': 396, 't': 379}, {'x': 830, 'y': 387, 't': 396}, {'x': 830, 'y': 375, 't': 413}, {'x': 830, 'y': 369, 't': 430}, {'x': 829, 'y': 363, 't': 446}, {'x': 828, 'y': 360, 't': 463}, {'x': 827, 'y': 357, 't': 479}, {'x': 820, 'y': 349, 't': 496}, {'x': 810, 'y': 341, 't': 513}, {'x': 800, 'y': 335, 't': 529}, {'x': 787, 'y': 327, 't': 546}, {'x': 776, 'y': 316, 't': 563}, {'x': 770, 'y': 311, 't': 579}, {'x': 760, 'y': 306, 't': 596}, {'x': 744, 'y': 299, 't': 613}, {'x': 721, 'y': 293, 't': 630}, {'x': 692, 'y': 287, 't': 646}, {'x': 666, 'y': 282, 't': 663}, {'x': 642, 'y': 277, 't': 680}, {'x': 620, 'y': 268, 't': 696}, {'x': 611, 'y': 263, 't': 712}, {'x': 603, 'y': 256, 't': 729}, {'x': 599, 'y': 252, 't': 746}, {'x': 594, 'y': 248, 't': 762}, {'x': 591, 'y': 247, 't': 779}, {'x': 588, 'y': 243, 't': 796}, {'x': 584, 'y': 241, 't': 813}, {'x': 580, 'y': 238, 't': 829}, {'x': 577, 'y': 237, 't': 846}, {'x': 574, 'y': 235, 't': 863}, {'x': 572, 'y': 233, 't': 879}, {'x': 568, 'y': 230, 't': 896}, {'x': 567, 'y': 227, 't': 912}, {'x': 565, 'y': 223, 't': 929}, {'x': 564, 'y': 222, 't': 946}]",1,"[{'x': 564, 'y': 222}]",[80],[1056],561.218812909716,433.27873841557647,awe_20240508224009517332_graph.png
080524221029,awe,21,Male,Student,Beginner,sadness,"<iframe width=""700"" height=""450"" src=""https://www.youtube.com/embed/IpNG4ohSUkI?si=Auz1TNKwXXKYEDys&amp;controls=0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Yes,1217,sadness,"[{'x': 826, 'y': 647, 't': 15}, {'x': 822, 'y': 639, 't': 198}, {'x': 815, 'y': 621, 't': 214}, {'x': 799, 'y': 585, 't': 232}, {'x': 777, 'y': 536, 't': 248}, {'x': 737, 'y': 439, 't': 265}, {'x': 726, 'y': 415, 't': 281}, {'x': 707, 'y': 389, 't': 298}, {'x': 697, 'y': 380, 't': 315}, {'x': 691, 'y': 375, 't': 332}, {'x': 688, 'y': 371, 't': 349}, {'x': 682, 'y': 364, 't': 365}, {'x': 675, 'y': 359, 't': 381}, {'x': 672, 'y': 354, 't': 399}, {'x': 666, 'y': 350, 't': 415}, {'x': 661, 'y': 347, 't': 432}, {'x': 656, 'y': 343, 't': 449}, {'x': 655, 'y': 342, 't': 464}, {'x': 652, 'y': 340, 't': 482}, {'x': 649, 'y': 339, 't': 515}, {'x': 646, 'y': 338, 't': 531}, {'x': 641, 'y': 335, 't': 548}, {'x': 636, 'y': 331, 't': 565}, {'x': 630, 'y': 326, 't': 581}, {'x': 623, 'y': 317, 't': 598}, {'x': 597, 'y': 295, 't': 614}, {'x': 576, 'y': 279, 't': 631}, {'x': 568, 'y': 274, 't': 648}, {'x': 556, 'y': 265, 't': 664}, {'x': 542, 'y': 256, 't': 681}, {'x': 540, 'y': 254, 't': 698}, {'x': 538, 'y': 253, 't': 715}, {'x': 535, 'y': 250, 't': 731}, {'x': 534, 'y': 248, 't': 748}, {'x': 533, 'y': 246, 't': 765}, {'x': 530, 'y': 242, 't': 781}, {'x': 529, 'y': 239, 't': 798}, {'x': 528, 'y': 238, 't': 815}, {'x': 527, 'y': 238, 't': 848}, {'x': 527, 'y': 236, 't': 998}, {'x': 527, 'y': 233, 't': 1015}, {'x': 527, 'y': 231, 't': 1032}]",2,"[{'x': 527, 'y': 238}, {'x': 527, 'y': 231}]","[88, 92]","[961, 1217]",435.44535452632425,420.95774270845425,sadness_20240508224339663523_graph.png
080524224432,awe,1,Male,Student,Beginner,anger,anger_00003.jpg,Yes,1472,anger,"[{'x': 757, 'y': 635, 't': 203}, {'x': 759, 'y': 631, 't': 219}, {'x': 743, 'y': 612, 't': 236}, {'x': 730, 'y': 606, 't': 253}, {'x': 720, 'y': 598, 't': 270}, {'x': 719, 'y': 598, 't': 520}, {'x': 712, 'y': 598, 't': 536}, {'x': 700, 'y': 594, 't': 552}, {'x': 680, 'y': 583, 't': 569}, {'x': 668, 'y': 574, 't': 586}, {'x': 664, 'y': 555, 't': 602}, {'x': 661, 'y': 544, 't': 619}, {'x': 657, 'y': 535, 't': 636}, {'x': 654, 'y': 514, 't': 653}, {'x': 653, 'y': 507, 't': 670}, {'x': 648, 'y': 491, 't': 686}, {'x': 644, 'y': 476, 't': 703}, {'x': 642, 'y': 466, 't': 719}, {'x': 639, 'y': 451, 't': 736}, {'x': 635, 'y': 442, 't': 752}, {'x': 632, 'y': 430, 't': 769}, {'x': 631, 'y': 422, 't': 786}, {'x': 631, 'y': 419, 't': 803}, {'x': 631, 'y': 411, 't': 819}, {'x': 632, 'y': 404, 't': 836}, {'x': 632, 'y': 403, 't': 853}, {'x': 636, 'y': 407, 't': 952}, {'x': 640, 'y': 411, 't': 969}, {'x': 638, 'y': 407, 't': 1002}, {'x': 627, 'y': 387, 't': 1019}, {'x': 619, 'y': 376, 't': 1037}, {'x': 605, 'y': 339, 't': 1053}, {'x': 596, 'y': 311, 't': 1069}, {'x': 592, 'y': 297, 't': 1086}, {'x': 588, 'y': 282, 't': 1103}, {'x': 585, 'y': 278, 't': 1120}, {'x': 584, 'y': 263, 't': 1136}, {'x': 580, 'y': 251, 't': 1153}, {'x': 578, 'y': 239, 't': 1169}, {'x': 576, 'y': 235, 't': 1186}, {'x': 576, 'y': 232, 't': 1202}, {'x': 576, 'y': 231, 't': 1219}, {'x': 575, 'y': 229, 't': 1352}, {'x': 574, 'y': 228, 't': 1369}, {'x': 574, 'y': 227, 't': 1385}, {'x': 573, 'y': 227, 't': 1400}]",1,"[{'x': 573, 'y': 227}]",[72],[1472],340.5121400615202,304.05653762389926,anger_20240508224630558519_graph.png
080524224432,awe,1,Male,Student,Beginner,anger,"<iframe width=""700"" height=""450"" src=""https://www.youtube.com/embed/guVlUIt-eP4?si=ThXOTkgF7BjIoLul&amp;controls=0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Yes,1248,anger,"[{'x': 800, 'y': 630, 't': 661}, {'x': 803, 'y': 568, 't': 677}, {'x': 804, 'y': 508, 't': 694}, {'x': 804, 'y': 484, 't': 711}, {'x': 800, 'y': 467, 't': 728}, {'x': 796, 'y': 454, 't': 744}, {'x': 780, 'y': 416, 't': 761}, {'x': 753, 'y': 385, 't': 778}, {'x': 722, 'y': 355, 't': 811}, {'x': 674, 'y': 326, 't': 828}, {'x': 646, 'y': 311, 't': 845}, {'x': 627, 'y': 298, 't': 861}, {'x': 605, 'y': 286, 't': 878}, {'x': 588, 'y': 274, 't': 895}, {'x': 578, 'y': 266, 't': 911}, {'x': 569, 'y': 258, 't': 928}, {'x': 567, 'y': 253, 't': 944}, {'x': 563, 'y': 248, 't': 961}, {'x': 560, 'y': 244, 't': 977}, {'x': 559, 'y': 241, 't': 994}, {'x': 556, 'y': 236, 't': 1012}, {'x': 553, 'y': 231, 't': 1028}, {'x': 551, 'y': 227, 't': 1044}, {'x': 547, 'y': 223, 't': 1061}, {'x': 545, 'y': 220, 't': 1078}, {'x': 544, 'y': 219, 't': 1094}, {'x': 540, 'y': 211, 't': 1111}, {'x': 538, 'y': 208, 't': 1128}, {'x': 538, 'y': 207, 't': 1145}]",2,"[{'x': 800, 'y': 643}, {'x': 538, 'y': 207}]","[63, 92]","[120, 1248]",436.3147648325708,398.69157123772084,anger_20240508224701460711_graph.png
